op,n,Logical qubits,Physical qubits,Logical depth,"Runtime, seconds"
QuantumArithmetic.CG2019.MultiplyKaratsuba,3,167,291470,1902,0.011412
QuantumArithmetic.CG2019.MultiplyKaratsuba,4,172,293720,1914,0.011484
QuantumArithmetic.CG2019.MultiplyKaratsuba,5,176,295520,1932,0.011592
QuantumArithmetic.CG2019.MultiplyKaratsuba,6,180,297320,1956,0.011736
QuantumArithmetic.CG2019.MultiplyKaratsuba,7,185,299570,1980,0.01188
QuantumArithmetic.CG2019.MultiplyKaratsuba,8,189,301370,2004,0.012024
QuantumArithmetic.CG2019.MultiplyKaratsuba,10,393,533154,11310,0.076908
QuantumArithmetic.CG2019.MultiplyKaratsuba,11,397,535466,11346,0.0771528
QuantumArithmetic.CG2019.MultiplyKaratsuba,13,406,540668,11418,0.0776424
QuantumArithmetic.CG2019.MultiplyKaratsuba,16,418,547604,11526,0.0783768
QuantumArithmetic.CG2019.MultiplyKaratsuba,19,511,601358,16914,0.1150152
QuantumArithmetic.CG2019.MultiplyKaratsuba,23,885,944970,59718,0.4538568
QuantumArithmetic.CG2019.MultiplyKaratsuba,27,902,957244,59862,0.4549512
QuantumArithmetic.CG2019.MultiplyKaratsuba,32,922,971684,60042,0.4563192
QuantumArithmetic.CG2019.MultiplyKaratsuba,38,1092,1094424,81114,0.6164664
QuantumArithmetic.CG2019.MultiplyKaratsuba,45,1120,1114640,81366,0.6183816
QuantumArithmetic.CG2019.MultiplyKaratsuba,54,2011,2079702,271338,2.2792392
QuantumArithmetic.CG2019.MultiplyKaratsuba,64,2052,2115864,271698,2.2822632
QuantumArithmetic.CG2019.MultiplyKaratsuba,76,2375,2400750,348546,2.9277864
QuantumArithmetic.CG2019.MultiplyKaratsuba,91,2436,2454552,349086,2.9323224
QuantumArithmetic.CG2019.MultiplyKaratsuba,108,2506,2516292,349698,2.9374632
QuantumArithmetic.CG2019.MultiplyKaratsuba,128,5510,6396020,1444548,13.2898416
QuantumArithmetic.CG2019.MultiplyKaratsuba,152,5202,6070156,1402206,12.9002952
QuantumArithmetic.CG2019.MultiplyKaratsuba,181,5319,6193942,1403250,12.9099
QuantumArithmetic.CG2019.MultiplyKaratsuba,215,5457,6339946,1404474,12.9211608
QuantumArithmetic.CG2019.MultiplyKaratsuba,256,5623,6515574,1405950,12.93474
QuantumArithmetic.CG2019.MultiplyKaratsuba,304,13756,17728120,6882012,68.82012
QuantumArithmetic.CG2019.MultiplyKaratsuba,362,13990,18020620,6884796,68.84796
QuantumArithmetic.CG2019.MultiplyKaratsuba,431,14268,18368120,6888108,68.88108
QuantumArithmetic.CG2019.MultiplyKaratsuba,512,14595,18776870,6891996,68.91996
QuantumArithmetic.CG2019.MultiplyKaratsuba,609,13671,17655190,6409746,64.09746
QuantumArithmetic.CG2019.MultiplyKaratsuba,724,30543,45064814,25653468,277.0574544
QuantumArithmetic.CG2019.MultiplyKaratsuba,861,31094,45868172,25660044,277.1284752
QuantumArithmetic.CG2019.MultiplyKaratsuba,1024,31750,46824620,25667868,277.2129744
QuantumArithmetic.CG2019.MultiplyKaratsuba,1218,35120,51738080,29946864,323.4261312
QuantumArithmetic.CG2019.MultiplyKaratsuba,1448,66389,112166098,93363312,1083.0144192
QuantumArithmetic.CG2019.MultiplyKaratsuba,1722,67489,114016298,93376464,1083.1669824
QuantumArithmetic.CG2019.MultiplyKaratsuba,2048,68798,116218036,93392112,1083.3484992
QuantumArithmetic.CG2019.MultiplyKaratsuba,2435,75507,127502574,107470116,1246.6533456
QuantumArithmetic.CG2019.MultiplyKaratsuba,2896,77358,130615956,107492244,1246.9100304
QuantumArithmetic.CG2019.MultiplyKaratsuba,3444,145805,280737010,333588240,4136.494176
QuantumArithmetic.CG2019.MultiplyKaratsuba,4096,148420,285763040,333619536,4136.8822464
QuantumArithmetic.CG2019.MultiplyKaratsuba,4871,161810,311498620,379542852,4706.3313648
QuantumArithmetic.CG2019.MultiplyKaratsuba,5793,165507,318604254,379587108,4706.8801392
QuantumArithmetic.CG2019.MultiplyKaratsuba,6889,313557,683753346,1174078980,15497.842536
QuantumArithmetic.CG2019.MultiplyKaratsuba,8192,318779,695126862,1174141524,15498.6681168
QuantumArithmetic.CG2019.MultiplyKaratsuba,9742,345521,753370938,1322911464,17462.4313248
QuantumArithmetic.CG2019.MultiplyKaratsuba,11585,352906,769455468,1322999928,17463.5990496
QuantumArithmetic.CG2019.MultiplyKaratsuba,13777,361688,788582664,1323105144,17464.9879008
QuantumArithmetic.CG2019.MultiplyKaratsuba,16384,681813,1671268050,4081461492,57140.460888
QuantumArithmetic.CG2019.MultiplyKaratsuba,19484,735252,1802193600,4560636168,63848.906352
QuantumArithmetic.CG2019.MultiplyKaratsuba,23170,750014,1838360500,4560813096,63851.383344
QuantumArithmetic.CG2019.MultiplyKaratsuba,27554,767570,1881372700,4561023528,63854.329392
QuantumArithmetic.CG2019.MultiplyKaratsuba,32768,1452636,3978143568,14039895432,207790.4523936
QuantumArithmetic.CG2019.MultiplyKaratsuba32,1,565,713930,30534,0.2320584
QuantumArithmetic.CG2019.MultiplyKaratsuba32,2,569,716818,30546,0.2321496
QuantumArithmetic.CG2019.MultiplyKaratsuba32,3,573,719706,30558,0.2322408
QuantumArithmetic.CG2019.MultiplyKaratsuba32,4,578,723316,30570,0.232332
QuantumArithmetic.CG2019.MultiplyKaratsuba32,5,582,726204,30582,0.2324232
QuantumArithmetic.CG2019.MultiplyKaratsuba32,6,586,729092,30594,0.2325144
QuantumArithmetic.CG2019.MultiplyKaratsuba32,7,590,731980,30606,0.2326056
QuantumArithmetic.CG2019.MultiplyKaratsuba32,8,594,734868,30618,0.2326968
QuantumArithmetic.CG2019.MultiplyKaratsuba32,10,603,741366,30642,0.2328792
QuantumArithmetic.CG2019.MultiplyKaratsuba32,11,607,744254,30654,0.2329704
QuantumArithmetic.CG2019.MultiplyKaratsuba32,13,615,750030,30678,0.2331528
QuantumArithmetic.CG2019.MultiplyKaratsuba32,16,628,759416,30714,0.2334264
QuantumArithmetic.CG2019.MultiplyKaratsuba32,19,640,768080,30780,0.233928
QuantumArithmetic.CG2019.MultiplyKaratsuba32,23,657,780354,30876,0.2346576
QuantumArithmetic.CG2019.MultiplyKaratsuba32,27,673,791906,30972,0.2353872
QuantumArithmetic.CG2019.MultiplyKaratsuba32,32,694,807068,31092,0.2362992
QuantumArithmetic.CG2019.MultiplyKaratsuba32,38,1454,1552428,142206,1.1945304
QuantumArithmetic.CG2019.MultiplyKaratsuba32,45,1482,1577124,142458,1.1966472
QuantumArithmetic.CG2019.MultiplyKaratsuba32,54,1519,1609758,142782,1.1993688
QuantumArithmetic.CG2019.MultiplyKaratsuba32,64,1560,1645920,143142,1.2023928
QuantumArithmetic.CG2019.MultiplyKaratsuba32,76,2681,2670642,457362,3.8418408
QuantumArithmetic.CG2019.MultiplyKaratsuba32,91,2742,2724444,457902,3.8463768
QuantumArithmetic.CG2019.MultiplyKaratsuba32,108,2812,2786184,458514,3.8515176
QuantumArithmetic.CG2019.MultiplyKaratsuba32,128,2893,2857626,459234,3.8575656
QuantumArithmetic.CG2019.MultiplyKaratsuba32,152,5137,6001386,1447266,13.3148472
QuantumArithmetic.CG2019.MultiplyKaratsuba32,181,5254,6125172,1448310,13.324452
QuantumArithmetic.CG2019.MultiplyKaratsuba32,215,5392,6271176,1449534,13.3357128
QuantumArithmetic.CG2019.MultiplyKaratsuba32,256,5559,6447862,1451010,13.349292
QuantumArithmetic.CG2019.MultiplyKaratsuba32,304,10058,13138940,4535742,45.35742
QuantumArithmetic.CG2019.MultiplyKaratsuba32,362,10292,13431440,4537830,45.3783
QuantumArithmetic.CG2019.MultiplyKaratsuba32,431,10571,13780190,4540314,45.40314
QuantumArithmetic.CG2019.MultiplyKaratsuba32,512,10898,14188940,4543230,45.4323
QuantumArithmetic.CG2019.MultiplyKaratsuba32,609,19936,29566488,14128866,152.5917528
QuantumArithmetic.CG2019.MultiplyKaratsuba32,724,20399,30241542,14133006,152.6364648
QuantumArithmetic.CG2019.MultiplyKaratsuba32,861,20951,31046358,14137938,152.6897304
QuantumArithmetic.CG2019.MultiplyKaratsuba32,1024,21607,32002806,14143806,152.7531048
QuantumArithmetic.CG2019.MultiplyKaratsuba32,1218,39768,67389576,43835442,508.4911272
QuantumArithmetic.CG2019.MultiplyKaratsuba32,1448,40693,68945426,43843722,508.5871752
QuantumArithmetic.CG2019.MultiplyKaratsuba32,1722,41794,70797308,43853586,508.7015976
QuantumArithmetic.CG2019.MultiplyKaratsuba32,2048,43105,73002410,43865322,508.8377352
QuantumArithmetic.CG2019.MultiplyKaratsuba32,2435,79618,134417276,135630582,1573.3147512
QuantumArithmetic.CG2019.MultiplyKaratsuba32,2896,81468,137528976,135647178,1573.5072648
QuantumArithmetic.CG2019.MultiplyKaratsuba32,3444,83668,141229376,135666906,1573.7361096
QuantumArithmetic.CG2019.MultiplyKaratsuba32,4096,86285,145631170,135690378,1574.0083848
QuantumArithmetic.CG2019.MultiplyKaratsuba32,4871,159741,307522002,418845762,5193.6874488
QuantumArithmetic.CG2019.MultiplyKaratsuba32,5793,163438,314627636,418878954,5194.0990296
QuantumArithmetic.CG2019.MultiplyKaratsuba32,6889,167833,323074826,418918410,5194.588284
QuantumArithmetic.CG2019.MultiplyKaratsuba32,8192,173058,333117276,418965318,5195.1699432
QuantumArithmetic.CG2019.MultiplyKaratsuba32,9742,386581,842799618,1645811712,21724.7145984
QuantumArithmetic.CG2019.MultiplyKaratsuba32,11585,393965,858881970,1645900176,21725.8823232
QuantumArithmetic.CG2019.MultiplyKaratsuba32,13777,402747,878009166,1646005392,21727.2711744
QuantumArithmetic.CG2019.MultiplyKaratsuba32,16384,413191,900756198,1646130528,21728.9229696
QuantumArithmetic.CG2019.MultiplyKaratsuba32,19484,776276,1902702400,5065171212,70912.396968
QuantumArithmetic.CG2019.MultiplyKaratsuba32,23170,791036,1938864400,5065348140,70914.87396
QuantumArithmetic.CG2019.MultiplyKaratsuba32,27554,808592,1981876600,5065558572,70917.820008
QuantumArithmetic.CG2019.MultiplyKaratsuba32,32768,829471,2033030150,5065808844,70921.323816
QuantumArithmetic.CG2019.MultiplySchoolbook,3,52,116264,126,0.0005544
QuantumArithmetic.CG2019.MultiplySchoolbook,4,66,190212,228,0.0010032
QuantumArithmetic.CG2019.MultiplySchoolbook,5,79,171902,360,0.001872
QuantumArithmetic.CG2019.MultiplySchoolbook,6,93,176634,522,0.0027144
QuantumArithmetic.CG2019.MultiplySchoolbook,7,106,181028,714,0.0037128
QuantumArithmetic.CG2019.MultiplySchoolbook,8,119,185422,936,0.0048672
QuantumArithmetic.CG2019.MultiplySchoolbook,10,146,191540,1470,0.00882
QuantumArithmetic.CG2019.MultiplySchoolbook,11,159,287870,1782,0.010692
QuantumArithmetic.CG2019.MultiplySchoolbook,13,185,299570,2496,0.014976
QuantumArithmetic.CG2019.MultiplySchoolbook,16,223,316670,3792,0.022752
QuantumArithmetic.CG2019.MultiplySchoolbook,19,262,334220,5358,0.032148
QuantumArithmetic.CG2019.MultiplySchoolbook,23,313,468914,7866,0.0534888
QuantumArithmetic.CG2019.MultiplySchoolbook,27,364,516392,10854,0.0738072
QuantumArithmetic.CG2019.MultiplySchoolbook,32,427,552806,15264,0.1037952
QuantumArithmetic.CG2019.MultiplySchoolbook,38,502,632156,21546,0.1465128
QuantumArithmetic.CG2019.MultiplySchoolbook,45,590,731980,30240,0.229824
QuantumArithmetic.CG2019.MultiplySchoolbook,54,702,812844,43578,0.3311928
QuantumArithmetic.CG2019.MultiplySchoolbook,64,827,903094,61248,0.4654848
QuantumArithmetic.CG2019.MultiplySchoolbook,76,976,1010672,86412,0.6567312
QuantumArithmetic.CG2019.MultiplySchoolbook,91,1162,1144964,123942,0.9419592
QuantumArithmetic.CG2019.MultiplySchoolbook,108,1372,1498104,174636,1.4669424
QuantumArithmetic.CG2019.MultiplySchoolbook,128,1618,1715076,245376,2.0611584
QuantumArithmetic.CG2019.MultiplySchoolbook,152,1913,1975266,346104,2.9072736
QuantumArithmetic.CG2019.MultiplySchoolbook,181,2269,2289258,490872,4.1233248
QuantumArithmetic.CG2019.MultiplySchoolbook,215,2685,3182730,692730,6.373116
QuantumArithmetic.CG2019.MultiplySchoolbook,256,3186,3712788,982272,9.0369024
QuantumArithmetic.CG2019.MultiplySchoolbook,304,3772,4557216,1385328,12.7450176
QuantumArithmetic.CG2019.MultiplySchoolbook,362,4479,5338542,1964574,18.0740808
QuantumArithmetic.CG2019.MultiplySchoolbook,431,5319,6227262,2785122,25.6231224
QuantumArithmetic.CG2019.MultiplySchoolbook,512,6304,8413120,3930624,39.30624
QuantumArithmetic.CG2019.MultiplySchoolbook,609,7482,9885620,5561388,55.61388
QuantumArithmetic.CG2019.MultiplySchoolbook,724,8878,11630620,7860468,78.60468
QuantumArithmetic.CG2019.MultiplySchoolbook,861,10539,13706870,11117232,111.17232
QuantumArithmetic.CG2019.MultiplySchoolbook,1024,12513,18743754,15725568,169.8361344
QuantumArithmetic.CG2019.MultiplySchoolbook,1218,14861,22200458,22249206,240.2914248
QuantumArithmetic.CG2019.MultiplySchoolbook,1448,17643,26256614,31446216,339.6191328
QuantumArithmetic.CG2019.MultiplySchoolbook,1722,20955,31085510,44474094,480.3202152
QuantumArithmetic.CG2019.MultiplySchoolbook,2048,24893,36827114,62908416,679.4108928
QuantumArithmetic.CG2019.MultiplySchoolbook,2435,29565,50228130,88931070,1031.600412
QuantumArithmetic.CG2019.MultiplySchoolbook,2896,35128,59585096,125793552,1459.2052032
QuantumArithmetic.CG2019.MultiplySchoolbook,3444,41738,70736436,177906708,2063.7178128
QuantumArithmetic.CG2019.MultiplySchoolbook,4096,49599,83958638,251645952,2919.0930432
QuantumArithmetic.CG2019.MultiplySchoolbook,4871,58939,113780558,355885002,4412.9740248
QuantumArithmetic.CG2019.MultiplySchoolbook,5793,70047,135130134,503365356,6241.7304144
QuantumArithmetic.CG2019.MultiplySchoolbook,6889,83247,160600494,711854148,8826.9914352
QuantumArithmetic.CG2019.MultiplySchoolbook,8192,98935,190752830,1006608384,12481.9439616
QuantumArithmetic.CG2019.MultiplySchoolbook,9742,117591,256939398,1423569234,18791.1138888
QuantumArithmetic.CG2019.MultiplySchoolbook,11585,139769,305298162,2013148620,26573.561784
QuantumArithmetic.JHHA2016.Multiply,3,38,106396,117,0.0005148
QuantumArithmetic.JHHA2016.Multiply,4,47,195294,204,0.0008976
QuantumArithmetic.JHHA2016.Multiply,5,56,164128,315,0.001638
QuantumArithmetic.JHHA2016.Multiply,6,66,167508,450,0.00234
QuantumArithmetic.JHHA2016.Multiply,7,75,170550,609,0.0031668
QuantumArithmetic.JHHA2016.Multiply,8,84,173592,792,0.0041184
QuantumArithmetic.JHHA2016.Multiply,10,102,179676,1230,0.006396
QuantumArithmetic.JHHA2016.Multiply,11,110,182380,1485,0.007722
QuantumArithmetic.JHHA2016.Multiply,13,128,273920,2067,0.012402
QuantumArithmetic.JHHA2016.Multiply,16,154,285620,3120,0.01872
QuantumArithmetic.JHHA2016.Multiply,19,180,297320,4389,0.026334
QuantumArithmetic.JHHA2016.Multiply,23,215,313070,6417,0.038502
QuantumArithmetic.JHHA2016.Multiply,27,249,431922,8829,0.0600372
QuantumArithmetic.JHHA2016.Multiply,32,292,474776,12384,0.0842112
QuantumArithmetic.JHHA2016.Multiply,38,342,539676,17442,0.1186056
QuantumArithmetic.JHHA2016.Multiply,45,402,574356,24435,0.166158
QuantumArithmetic.JHHA2016.Multiply,54,477,650394,35154,0.2671704
QuantumArithmetic.JHHA2016.Multiply,64,561,711042,49344,0.3750144
QuantumArithmetic.JHHA2016.Multiply,76,661,783242,69540,0.528504
QuantumArithmetic.JHHA2016.Multiply,91,786,873492,99645,0.757302
QuantumArithmetic.JHHA2016.Multiply,108,926,974572,140292,1.0662192
QuantumArithmetic.JHHA2016.Multiply,128,1092,1251144,196992,1.6547328
QuantumArithmetic.JHHA2016.Multiply,152,1289,1424898,277704,2.3327136
QuantumArithmetic.JHHA2016.Multiply,181,1528,1653696,393675,3.30687
QuantumArithmetic.JHHA2016.Multiply,215,1806,1898892,555345,4.664898
QuantumArithmetic.JHHA2016.Multiply,256,2142,2608236,787200,7.24224
QuantumArithmetic.JHHA2016.Multiply,304,2534,3247412,1109904,10.2111168
QuantumArithmetic.JHHA2016.Multiply,362,3007,3747846,1573614,14.4772488
QuantumArithmetic.JHHA2016.Multiply,431,3569,4375762,2230425,20.51991
QuantumArithmetic.JHHA2016.Multiply,512,4228,5072984,3147264,28.9548288
QuantumArithmetic.JHHA2016.Multiply,609,5015,6835190,4452399,44.52399
QuantumArithmetic.JHHA2016.Multiply,724,5948,7968120,6292284,62.92284
QuantumArithmetic.JHHA2016.Multiply,861,7058,9388940,8898435,88.98435
QuantumArithmetic.JHHA2016.Multiply,1024,8377,11004370,12585984,125.85984
QuantumArithmetic.JHHA2016.Multiply,1218,9945,15032930,17805942,192.3041736
QuantumArithmetic.JHHA2016.Multiply,1448,11803,17741894,25164792,271.7797536
QuantumArithmetic.JHHA2016.Multiply,1722,14014,20965532,35588574,384.3565992
QuantumArithmetic.JHHA2016.Multiply,2048,16644,24800072,50337792,543.6481536
QuantumArithmetic.JHHA2016.Multiply,2435,19763,29347574,71158005,768.506454
QuantumArithmetic.JHHA2016.Multiply,2896,23476,39986432,100650480,1167.545568
QuantumArithmetic.JHHA2016.Multiply,3444,27887,47405734,142343964,1651.1899824
QuantumArithmetic.JHHA2016.Multiply,4096,33134,56264508,201338880,2335.531008
QuantumArithmetic.JHHA2016.Multiply,4871,39366,66746732,284734305,3302.917938
QuantumArithmetic.JHHA2016.Multiply,5793,46778,90407116,402723567,4993.7722308
QuantumArithmetic.JHHA2016.Multiply,6889,55585,107334170,569520519,7062.0544356
QuantumArithmetic.JHHA2016.Multiply,8192,66052,127551704,805330944,9986.1037056
QuantumArithmetic.JHHA2016.Multiply,9742,78498,151754436,1138907994,14122.4591256
QuantumArithmetic.JHHA2016.Multiply,11585,93292,180188504,1610581455,19971.210042
QuantumArithmetic.JHHA2016.Multiply,13777,110883,242384454,2277710079,30065.7730428
QuantumArithmetic.JHHA2016.Multiply,16384,131800,287941680,3221274624,42520.8250368
QuantumArithmetic.JHHA2016.Multiply,19484,156665,342097650,4555573524,60133.5705168
QuantumArithmetic.JHHA2016.Multiply,23170,186225,406479330,6442256310,85037.783292
QuantumArithmetic.JHHA2016.Multiply,27554,221375,543194950,9110757654,127550.607156
QuantumArithmetic.JHHA2016.Multiply,32768,263172,645597600,12885000192,180390.002688
QuantumArithmetic.MCT2017.Multiply,1,18,27220,10,3.6e-05
QuantumArithmetic.MCT2017.Multiply,2,28,134136,30,0.000108
QuantumArithmetic.MCT2017.Multiply,3,38,106396,75,0.00033
QuantumArithmetic.MCT2017.Multiply,4,47,115054,138,0.0006072
QuantumArithmetic.MCT2017.Multiply,5,56,197472,219,0.0009636
QuantumArithmetic.MCT2017.Multiply,6,66,177188,318,0.0016536
QuantumArithmetic.MCT2017.Multiply,7,75,170550,435,0.002262
QuantumArithmetic.MCT2017.Multiply,8,84,173592,570,0.002964
QuantumArithmetic.MCT2017.Multiply,10,102,179676,894,0.0046488
QuantumArithmetic.MCT2017.Multiply,11,110,182380,1083,0.0056316
QuantumArithmetic.MCT2017.Multiply,13,128,273920,1515,0.00909
QuantumArithmetic.MCT2017.Multiply,16,154,285620,2298,0.013788
QuantumArithmetic.MCT2017.Multiply,19,180,297320,3243,0.019458
QuantumArithmetic.MCT2017.Multiply,23,215,313070,4755,0.02853
QuantumArithmetic.MCT2017.Multiply,27,249,328370,6555,0.03933
QuantumArithmetic.MCT2017.Multiply,32,292,456776,9210,0.062628
QuantumArithmetic.MCT2017.Multiply,38,342,503676,12990,0.088332
QuantumArithmetic.MCT2017.Multiply,45,402,574356,18219,0.1238892
QuantumArithmetic.MCT2017.Multiply,54,477,617706,26238,0.1784184
QuantumArithmetic.MCT2017.Multiply,64,561,711042,36858,0.2801208
QuantumArithmetic.MCT2017.Multiply,76,661,783242,51978,0.3950328
QuantumArithmetic.MCT2017.Multiply,91,786,873492,74523,0.5663748
QuantumArithmetic.MCT2017.Multiply,108,926,974572,104970,0.797772
QuantumArithmetic.MCT2017.Multiply,128,1092,1094424,147450,1.12062
QuantumArithmetic.MCT2017.Multiply,152,1289,1442898,207930,1.746612
QuantumArithmetic.MCT2017.Multiply,181,1528,1653696,294843,2.4766812
QuantumArithmetic.MCT2017.Multiply,215,1806,1898892,416019,3.4945596
QuantumArithmetic.MCT2017.Multiply,256,2142,2195244,589818,4.9544712
QuantumArithmetic.MCT2017.Multiply,304,2534,3022972,831738,7.6519896
QuantumArithmetic.MCT2017.Multiply,362,3007,3747846,1179390,10.850388
QuantumArithmetic.MCT2017.Multiply,431,3569,4342442,1671843,15.3809556
QuantumArithmetic.MCT2017.Multiply,512,4228,5072984,2359290,21.705468
QuantumArithmetic.MCT2017.Multiply,609,5015,6835190,3337923,33.37923
QuantumArithmetic.MCT2017.Multiply,724,5948,8001440,4717578,47.17578
QuantumArithmetic.MCT2017.Multiply,861,7058,9388940,6671883,66.71883
QuantumArithmetic.MCT2017.Multiply,1024,8377,11037690,9437178,94.37178
QuantumArithmetic.MCT2017.Multiply,1218,9945,12997690,13351710,133.5171
QuantumArithmetic.MCT2017.Multiply,1448,11803,17741894,18870330,203.799564
QuantumArithmetic.MCT2017.Multiply,1722,14014,20965532,26687550,288.22554
QuantumArithmetic.MCT2017.Multiply,2048,16644,24800072,37748730,407.686284
QuantumArithmetic.MCT2017.Multiply,2435,19763,29347574,53363019,576.3206052
QuantumArithmetic.MCT2017.Multiply,2896,23476,39986432,75481338,875.5835208
QuantumArithmetic.MCT2017.Multiply,3444,27887,47405734,106750218,1238.3025288
QuantumArithmetic.MCT2017.Multiply,4096,33134,56231188,150994938,1751.5412808
QuantumArithmetic.MCT2017.Multiply,4871,39366,66746732,213539763,2477.0612508
QuantumArithmetic.MCT2017.Multiply,5793,46778,79213716,302029635,3503.543766
QuantumArithmetic.MCT2017.Multiply,6889,55585,107334170,427124883,5296.3485492
QuantumArithmetic.MCT2017.Multiply,8192,66052,127451744,603979770,7489.349148
QuantumArithmetic.MCT2017.Multiply,9742,78498,151472916,854159070,10591.572468
QuantumArithmetic.MCT2017.Multiply,11585,93292,180188504,1207910019,14978.0842356
QuantumArithmetic.MCT2017.Multiply,13777,110883,242329374,1708251555,22548.920526
QuantumArithmetic.MCT2017.Multiply,16384,131800,287941680,2415919098,31890.1320936
QuantumArithmetic.MCT2017.Multiply,19484,156665,342097650,3416636298,45099.5991336
QuantumArithmetic.MCT2017.Multiply,23170,186225,406479330,4831640094,63777.6492408
QuantumArithmetic.MCT2017.Multiply,27554,221375,483036030,6833006238,90195.6823416
QuantumArithmetic.MCT2017.Multiply,32768,263172,645597600,9663676410,135291.46974
QuantumArithmetic.OFOSG2023.MultiplyWallaceTree,3,70,107660,72,0.0003168
QuantumArithmetic.OFOSG2023.MultiplyWallaceTree,4,108,116856,136,0.0005984
QuantumArithmetic.OFOSG2023.MultiplyWallaceTree,5,154,177892,220,0.001144
QuantumArithmetic.OFOSG2023.MultiplyWallaceTree,6,208,205824,324,0.0016848
QuantumArithmetic.OFOSG2023.MultiplyWallaceTree,7,281,230498,478,0.0024856
QuantumArithmetic.OFOSG2023.MultiplyWallaceTree,8,353,275010,628,0.003768
QuantumArithmetic.OFOSG2023.MultiplyWallaceTree,10,523,351510,994,0.005964
QuantumArithmetic.OFOSG2023.MultiplyWallaceTree,11,623,396510,1216,0.007296
QuantumArithmetic.OFOSG2023.MultiplyWallaceTree,13,839,566830,1696,0.010176
QuantumArithmetic.OFOSG2023.MultiplyWallaceTree,16,1236,876648,2602,0.0176936
QuantumArithmetic.OFOSG2023.MultiplyWallaceTree,19,1696,1142528,3664,0.0249152
QuantumArithmetic.OFOSG2023.MultiplyWallaceTree,23,2438,1571404,5410,0.036788
QuantumArithmetic.OFOSG2023.MultiplyWallaceTree,27,3302,2618044,7458,0.0566808
QuantumArithmetic.OFOSG2023.MultiplyWallaceTree,32,4575,3537150,10504,0.0798304
QuantumArithmetic.OFOSG2023.MultiplyWallaceTree,38,6359,4843198,14800,0.11248
QuantumArithmetic.OFOSG2023.MultiplyWallaceTree,45,8825,8035650,20784,0.1745856
QuantumArithmetic.OFOSG2023.MultiplyWallaceTree,54,12556,11326392,29868,0.2508912
QuantumArithmetic.OFOSG2023.MultiplyWallaceTree,64,17474,15664068,41902,0.3519768
QuantumArithmetic.OFOSG2023.MultiplyWallaceTree,76,24446,21813372,59026,0.4958184
QuantumArithmetic.OFOSG2023.MultiplyWallaceTree,91,34750,36999500,84388,0.7763696
QuantumArithmetic.OFOSG2023.MultiplyWallaceTree,108,48693,51751194,118836,1.0932912
QuantumArithmetic.OFOSG2023.MultiplyWallaceTree,128,68013,72191754,166636,1.5330512
QuantumArithmetic.OFOSG2023.MultiplyWallaceTree,152,95471,119572750,234706,2.34706
QuantumArithmetic.OFOSG2023.MultiplyWallaceTree,181,134748,168669000,332176,3.32176
QuantumArithmetic.OFOSG2023.MultiplyWallaceTree,215,189432,237024000,468076,4.68076
QuantumArithmetic.OFOSG2023.MultiplyWallaceTree,256,267694,390513852,662764,7.1578512
QuantumArithmetic.OFOSG2023.MultiplyWallaceTree,304,376308,548909064,933118,10.0776744
QuantumArithmetic.OFOSG2023.MultiplyWallaceTree,362,532433,776720474,1322146,14.2791768
QuantumArithmetic.OFOSG2023.MultiplyWallaceTree,431,753125,1098489410,1872304,20.2208832
QuantumArithmetic.OFOSG2023.MultiplyWallaceTree,512,1060920,1784900600,2640004,30.6240464
QuantumArithmetic.OFOSG2023.MultiplyWallaceTree,609,1498478,2520873156,3731712,43.2878592
QuantumArithmetic.OFOSG2023.MultiplyWallaceTree,724,2114924,3557735328,5270320,61.135712
QuantumArithmetic.OFOSG2023.MultiplyWallaceTree,861,2987504,5742382528,7448838,92.3655912
QuantumArithmetic.OFOSG2023.MultiplyWallaceTree,1024,4220884,8112938888,10528600,130.55464
